artists,genres
3,"['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'post-grunge']"
44,[]
45,['trap soul']
69,['miami bass']
98,"['boy band', 'dance pop']"
112,"['atl hip hop', 'boy band', 'dance pop', 'gangster rap', 'hip pop', 'new jack swing', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']"
311,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'nu metal', 'pop rock', 'rap rock', 'reggae fusion', 'rock']"
696,[]
702,"['girl group', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']"
707,[]
999,"['oi', 'pub rock', 'punk']"
1422,[]
1927,['la indie']
2000,[]
2002,"['new age', 'operatic pop']"
2012,[]
2013,[]
2017,[]
-Sd-,[]
? & The Mysterians,"['chicano punk', 'classic garage rock', 'detroit rock', 'freakbeat', 'protopunk', 'psychedelic rock']"
?uestlove,['philly rap']
...And You Will Know Us by the Trail of Dead,"['alternative rock', 'dance-punk', 'double drumming', 'indie rock', 'modern rock', 'post-hardcore']"
.ex-machina.,"['cyberpunk', 'synthwave']"
'In The Heights' Original Broadway Company,"['broadway', 'show tunes']"
'Legally Blonde' Ensemble,"['broadway', 'hollywood', 'show tunes']"
'Til Tuesday,"['boston rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']"
"""Cats"" 1981 Original London Cast",['show tunes']
"""Cats"" 1983 Broadway Cast",[]
"""Fiddler On The Roof” Motion Picture Chorus",[]
"""Fiddler On The Roof” Motion Picture Orchestra",[]
"""Joseph And The Amazing Technicolor Dreamcoat"" 1991 London Cast",[]
"""Joseph And The Amazing Technicolor Dreamcoat"" 1992 Canadian Cast",[]
"""Mama"" Helen Teagarden",[]
"""Test for Victor Young""",[]
"""Weird Al"" Yankovic","['comedy rock', 'comic', 'parody']"
“Starlight Express” Original Cast,[]
((( O ))),"['experimental hip hop', 'indie soul']"
(Con La Participación de Marc Anthony),[]
(EM),"['detroit hip hop', 'hip hop', 'rap']"
(G)I-DLE,"['k-pop', 'k-pop girl group']"
(Hed) P.E.,"['alternative metal', 'industrial metal', 'nu metal', 'rap metal', 'rap rock']"
[:SITD:],"['aggrotech', 'dark electro', 'ebm', 'electro-industrial', 'futurepop']"
[bsd.u],"['chillhop', 'japanese chillhop', 'lo-fi beats', 'phonk']"
[e]rik MnMl,[]
*NSYNC,"['boy band', 'dance pop', 'europop', 'pop']"
*spandrel,['indy indie']
//Tense//,[]
\,[]
$0dg0d,[]
$atori Zoom,"['dark trap', 'meme rap']"
$NOT,"['florida rap', 'underground hip hop', 'vapor trap']"
$tar$eed,[]
$uicideBoy$,"['dark trap', 'new orleans rap', 'underground hip hop']"
015B,"['k-indie', 'korean electropop', 'korean pop']"
03 Greedo,"['cali rap', 'melodic rap', 'trap', 'underground hip hop', 'vapor trap']"
070 Shake,"['alternative r&b', 'new jersey rap']"
10 Ft. Ganja Plant,"['dub', 'east coast reggae', 'reggae', 'reggae rock', 'roots reggae']"
